ts_event,symbol,bar_period,open,high,low,close,volume
2024-12-03 13:21:00+00:00,MNQZ4,MINUTE,21205.0,21209.5,21204.25,21206.75,513
2024-12-03 13:22:00+00:00,MNQZ4,MINUTE,21207.75,21209.5,21206.0,21207.25,211
2024-12-03 13:23:00+00:00,MNQZ4,MINUTE,21207.25,21211.5,21206.75,21211.25,237
2024-12-03 13:24:00+00:00,MNQZ4,MINUTE,21211.25,21214.0,21210.25,21211.75,356
2024-12-03 13:25:00+00:00,MNQZ4,MINUTE,21212.0,21213.5,21210.75,21213.0,206
2024-12-03 13:26:00+00:00,MNQZ4,MINUTE,21213.0,21213.0,21207.25,21208.25,243
2024-12-03 13:27:00+00:00,MNQZ4,MINUTE,21208.0,21210.25,21206.5,21208.5,189
2024-12-03 13:28:00+00:00,MNQZ4,MINUTE,21208.25,21211.25,21208.25,21209.75,166
2024-12-03 13:29:00+00:00,MNQZ4,MINUTE,21209.5,21211.5,21207.0,21207.0,164
2024-12-03 13:30:00+00:00,MNQZ4,MINUTE,21207.25,21209.25,21205.0,21206.75,332
2024-12-03 13:31:00+00:00,MNQZ4,MINUTE,21207.0,21208.75,21203.0,21205.5,285
2024-12-03 13:32:00+00:00,MNQZ4,MINUTE,21205.25,21206.25,21203.5,21205.5,264
2024-12-03 13:33:00+00:00,MNQZ4,MINUTE,21206.0,21207.75,21205.0,21207.75,152
2024-12-03 13:34:00+00:00,MNQZ4,MINUTE,21207.5,21212.5,21207.5,21212.5,364
2024-12-03 13:35:00+00:00,MNQZ4,MINUTE,21212.0,21212.5,21210.5,21211.25,226
2024-12-03 13:36:00+00:00,MNQZ4,MINUTE,21211.5,21212.25,21208.75,21211.0,249
2024-12-03 13:37:00+00:00,MNQZ4,MINUTE,21210.25,21211.25,21208.75,21209.25,149
2024-12-03 13:38:00+00:00,MNQZ4,MINUTE,21208.75,21210.5,21207.0,21207.75,287
2024-12-03 13:39:00+00:00,MNQZ4,MINUTE,21207.25,21210.25,21206.5,21209.25,245
2024-12-03 13:40:00+00:00,MNQZ4,MINUTE,21209.25,21210.75,21208.25,21210.0,140
2024-12-03 13:41:00+00:00,MNQZ4,MINUTE,21210.25,21211.5,21210.25,21211.5,165
2024-12-03 13:42:00+00:00,MNQZ4,MINUTE,21211.25,21215.75,21211.25,21214.25,569
2024-12-03 13:43:00+00:00,MNQZ4,MINUTE,21214.75,21219.0,21214.25,21216.0,815
2024-12-03 13:44:00+00:00,MNQZ4,MINUTE,21216.0,21219.75,21215.25,21218.75,339
2024-12-03 13:45:00+00:00,MNQZ4,MINUTE,21218.75,21220.25,21216.0,21219.0,460
2024-12-03 13:46:00+00:00,MNQZ4,MINUTE,21219.5,21221.0,21217.75,21220.75,409
2024-12-03 13:47:00+00:00,MNQZ4,MINUTE,21220.25,21224.25,21219.5,21221.25,760
2024-12-03 13:48:00+00:00,MNQZ4,MINUTE,21220.75,21225.5,21220.25,21224.5,597
2024-12-03 13:49:00+00:00,MNQZ4,MINUTE,21224.75,21225.75,21222.5,21225.25,568
2024-12-03 13:50:00+00:00,MNQZ4,MINUTE,21224.75,21225.75,21221.5,21222.5,471
2024-12-03 13:51:00+00:00,MNQZ4,MINUTE,21222.5,21224.5,21218.25,21218.5,646
2024-12-03 13:52:00+00:00,MNQZ4,MINUTE,21219.0,21219.0,21216.25,21216.5,492
2024-12-03 13:53:00+00:00,MNQZ4,MINUTE,21217.0,21217.0,21206.5,21207.5,1727
2024-12-03 13:54:00+00:00,MNQZ4,MINUTE,21208.0,21210.25,21204.25,21209.5,1091
2024-12-03 13:55:00+00:00,MNQZ4,MINUTE,21209.5,21213.75,21207.0,21213.5,844
2024-12-03 13:56:00+00:00,MNQZ4,MINUTE,21213.25,21214.0,21208.5,21209.0,586
2024-12-03 13:57:00+00:00,MNQZ4,MINUTE,21209.5,21210.25,21202.25,21203.5,1353
2024-12-03 13:58:00+00:00,MNQZ4,MINUTE,21203.0,21205.0,21199.0,21200.25,1233
2024-12-03 13:59:00+00:00,MNQZ4,MINUTE,21200.0,21201.25,21195.0,21196.0,1495
2024-12-03 14:00:00+00:00,MNQZ4,MINUTE,21196.25,21202.0,21195.75,21201.75,1045
2024-12-03 14:01:00+00:00,MNQZ4,MINUTE,21201.25,21210.0,21198.75,21208.5,1327
2024-12-03 14:02:00+00:00,MNQZ4,MINUTE,21208.5,21210.5,21198.75,21199.5,1273
2024-12-03 14:03:00+00:00,MNQZ4,MINUTE,21199.5,21201.0,21195.25,21198.0,1186
2024-12-03 14:04:00+00:00,MNQZ4,MINUTE,21197.25,21201.25,21196.0,21196.25,663
2024-12-03 14:05:00+00:00,MNQZ4,MINUTE,21196.75,21196.75,21176.75,21177.75,4004
2024-12-03 14:06:00+00:00,MNQZ4,MINUTE,21178.25,21179.0,21163.0,21164.25,4348
2024-12-03 14:07:00+00:00,MNQZ4,MINUTE,21164.0,21166.0,21155.0,21157.25,3710
2024-12-03 14:08:00+00:00,MNQZ4,MINUTE,21157.5,21165.75,21156.0,21165.5,2349
2024-12-03 14:09:00+00:00,MNQZ4,MINUTE,21165.25,21165.75,21156.25,21156.5,1457
2024-12-03 14:10:00+00:00,MNQZ4,MINUTE,21156.75,21169.75,21156.25,21160.75,2579
2024-12-03 14:11:00+00:00,MNQZ4,MINUTE,21160.75,21173.5,21160.0,21169.75,1871
2024-12-03 14:12:00+00:00,MNQZ4,MINUTE,21170.0,21170.0,21162.5,21165.25,1168
2024-12-03 14:13:00+00:00,MNQZ4,MINUTE,21165.5,21168.5,21162.75,21164.25,639
2024-12-03 14:14:00+00:00,MNQZ4,MINUTE,21164.25,21165.25,21156.5,21158.25,1691
2024-12-03 14:15:00+00:00,MNQZ4,MINUTE,21158.0,21159.25,21145.0,21148.0,4064
2024-12-03 14:16:00+00:00,MNQZ4,MINUTE,21148.25,21152.5,21146.5,21150.75,1356
2024-12-03 14:17:00+00:00,MNQZ4,MINUTE,21150.5,21158.25,21150.0,21157.75,1355
2024-12-03 14:18:00+00:00,MNQZ4,MINUTE,21158.25,21168.25,21157.0,21167.75,2300
2024-12-03 14:19:00+00:00,MNQZ4,MINUTE,21167.25,21171.25,21165.75,21168.5,1784
2024-12-03 14:20:00+00:00,MNQZ4,MINUTE,21168.5,21168.75,21160.5,21162.75,1320
2024-12-03 14:21:00+00:00,MNQZ4,MINUTE,21163.25,21173.0,21163.0,21172.75,1418
2024-12-03 14:22:00+00:00,MNQZ4,MINUTE,21173.0,21178.75,21155.75,21160.75,4308
2024-12-03 14:23:00+00:00,MNQZ4,MINUTE,21161.0,21165.0,21159.25,21163.75,1089
2024-12-03 14:24:00+00:00,MNQZ4,MINUTE,21163.5,21171.0,21159.75,21159.75,1055
2024-12-03 14:25:00+00:00,MNQZ4,MINUTE,21160.0,21171.25,21160.0,21166.5,957
2024-12-03 14:26:00+00:00,MNQZ4,MINUTE,21166.5,21170.25,21164.25,21170.0,543
2024-12-03 14:27:00+00:00,MNQZ4,MINUTE,21169.5,21170.0,21164.75,21165.0,730
2024-12-03 14:28:00+00:00,MNQZ4,MINUTE,21165.0,21165.0,21153.5,21157.25,2143
2024-12-03 14:29:00+00:00,MNQZ4,MINUTE,21157.25,21162.5,21152.25,21157.5,1520
2024-12-03 14:30:00+00:00,MNQZ4,MINUTE,21158.0,21166.5,21138.5,21143.0,12568
2024-12-03 14:31:00+00:00,MNQZ4,MINUTE,21143.5,21156.75,21134.75,21148.5,8817
2024-12-03 14:32:00+00:00,MNQZ4,MINUTE,21148.5,21169.5,21146.5,21160.0,8543
2024-12-03 14:33:00+00:00,MNQZ4,MINUTE,21160.5,21166.75,21138.5,21161.5,7590
2024-12-03 14:34:00+00:00,MNQZ4,MINUTE,21162.0,21186.25,21160.75,21177.25,10024
2024-12-03 14:35:00+00:00,MNQZ4,MINUTE,21177.0,21189.75,21174.5,21186.0,6594
2024-12-03 14:36:00+00:00,MNQZ4,MINUTE,21185.25,21195.5,21178.5,21186.5,7327
2024-12-03 14:37:00+00:00,MNQZ4,MINUTE,21187.0,21187.25,21166.5,21167.0,7146
2024-12-03 14:38:00+00:00,MNQZ4,MINUTE,21167.0,21187.5,21165.75,21185.5,5125
2024-12-03 14:39:00+00:00,MNQZ4,MINUTE,21185.0,21195.25,21183.0,21193.5,5098
2024-12-03 14:40:00+00:00,MNQZ4,MINUTE,21193.5,21203.25,21187.0,21188.75,7517
2024-12-03 14:41:00+00:00,MNQZ4,MINUTE,21188.75,21194.25,21184.0,21186.0,3349
2024-12-03 14:42:00+00:00,MNQZ4,MINUTE,21185.75,21190.25,21179.25,21184.5,4220
2024-12-03 14:43:00+00:00,MNQZ4,MINUTE,21184.5,21189.0,21180.75,21180.75,2485
2024-12-03 14:44:00+00:00,MNQZ4,MINUTE,21180.75,21193.0,21175.0,21191.75,4933
2024-12-03 14:45:00+00:00,MNQZ4,MINUTE,21191.0,21206.75,21189.0,21202.25,6817
